번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,10192,9538,7154,14538,17261,6146,14500,8269,2908
2,광주,8600,8700,7100,13000,13600,6000,14800,7800,2900
3,대구,10167,8300,7167,10250,14043,5917,14500,6333,2500
4,대전,8900,9200,7000,13600,17117,5800,13400,6400,2600
5,부산,9857,7857,6857,10357,14799,5714,14429,6429,2643
6,울산,8600,8400,7200,9000,15369,6100,13200,7900,2700
7,인천,9667,7983,7250,14483,16015,5917,14333,7333,2667
8,강원,8556,8667,7556,13333,13519,5778,13667,8222,2611
9,경기,9224,8031,7190,14328,15770,5966,14828,7862,2890
10,경남,9077,7692,7500,10292,15769,5500,14692,6731,3138
11,경북,8885,7954,7308,9231,14418,5654,13769,7077,2769
12,전남,8111,8056,6667,13444,16287,6222,15111,7333,2200
13,전북,8550,9700,7600,12800,14323,5700,14800,7450,2630
14,충남,8700,8550,7300,13800,14861,5900,14100,7500,2520
15,충북,7929,7900,7714,13000,12806,5429,12714,6929,2500
16,제주,9000,8500,8125,15250,15667,6000,13250,8500,2750
