번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9000,8769,6462,14000,16701,5154,14462,7077,2408
2,광주,7800,7900,7100,12000,12556,5400,14200,6800,2400
3,대구,8167,8567,6333,9583,12222,4917,13500,5750,2183
4,대전,7900,8500,6100,12600,15067,5400,12600,5800,2300
5,부산,8571,6900,6429,9286,13903,4857,13571,5786,2286
6,울산,8000,7800,6500,8600,14141,5300,13000,6900,2300
7,인천,8067,7567,6500,13833,15426,5000,13500,6750,2250
8,강원,8111,6944,6944,12000,12000,5000,13444,7167,2333
9,경기,8419,7288,6385,13846,14626,5365,13654,7058,2354
10,경남,8400,6800,6900,9000,14224,4900,14400,6200,2430
11,경북,7923,7223,6654,8615,13079,4923,12692,6385,2177
12,전남,7444,7000,6389,12000,15000,5278,13778,7111,2111
13,전북,7650,8400,6800,12400,13523,5100,13800,7000,2250
14,충남,7900,7950,6700,12700,13692,5250,13200,6700,2200
15,충북,7357,7257,7143,12143,12406,5143,12143,6357,2000
16,제주,7000,8250,7625,15000,15417,5750,12250,7625,2375
