번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9346,8923,6769,14000,16581,5385,14462,7462,2692
2,광주,7800,8700,7100,12400,12956,5500,14400,7000,2400
3,대구,8833,8750,6500,9667,13214,5167,13833,6250,2217
4,대전,8300,8700,6500,12600,15933,5400,12600,6000,2400
5,부산,8857,7500,6714,9571,14372,5071,13857,5929,2357
6,울산,8000,7900,6900,8600,14338,5700,13200,7200,2500
7,인천,8833,7333,6500,13317,15293,5333,14000,6833,2417
8,강원,8111,7556,7167,12444,12444,5278,13333,7500,2333
9,경기,8577,7635,6615,13635,14691,5692,14269,7308,2608
10,경남,8700,7300,6850,9290,14694,4950,14400,6450,2760
11,경북,8154,7377,7038,8692,13207,4962,13077,6615,2423
12,전남,7556,7667,6611,12667,15346,5722,14222,7111,2111
13,전북,8100,9150,7150,12550,13701,5200,14000,6900,2350
14,충남,8000,7950,6900,13100,14317,5350,13200,6900,2370
15,충북,7429,7614,7143,12286,12121,5286,12143,6357,2214
16,제주,7750,8250,7625,15000,15417,5875,12250,7750,2625
