번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9731,9154,7077,14308,16897,5692,14231,7615,2731
2,광주,8400,8700,7100,13000,13600,5700,14600,7400,2800
3,대구,9000,9050,6667,10000,13658,5167,14333,6250,2333
4,대전,8600,9400,6700,13200,16583,5600,13000,6200,2600
5,부산,9429,7700,6714,9929,14168,5214,14143,6071,2429
6,울산,8300,8200,7200,8800,14969,5900,13200,7400,2700
7,인천,9167,7817,6667,13983,15496,5667,14167,6917,2667
8,강원,8389,7944,7167,13222,13407,5278,13444,7500,2444
9,경기,8897,7797,6931,14086,15455,5793,14414,7621,2741
10,경남,8808,7577,7269,9908,15148,5231,14154,6308,2931
11,경북,8346,7800,7192,9077,14162,5346,13077,6846,2538
12,전남,7667,7778,6556,13333,16139,6000,14333,7333,2167
13,전북,8200,9350,7350,13150,14323,5400,14300,7350,2350
14,충남,8300,8250,7200,13600,14794,5500,13800,7100,2500
15,충북,7643,7743,7286,12857,12663,5143,12286,6500,2357
16,제주,8750,8500,8125,15250,15667,6000,13000,8250,2750
