번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,10269,9538,7308,14846,17595,6223,14577,8269,2908
2,광주,8600,8700,7500,13400,14044,6100,14800,7800,2900
3,대구,10167,8633,7167,10417,14265,5917,14500,6333,2500
4,대전,9000,9400,7000,13600,17117,5800,13400,7000,2800
5,부산,9857,8071,6857,10357,14799,5857,14429,6500,2643
6,울산,8600,8400,7200,9000,15369,6200,13400,8100,2700
7,인천,9667,7983,7333,14483,16015,6000,14333,7333,2667
8,강원,8667,8778,7556,13778,13963,5778,13778,8222,2667
9,경기,9259,8100,7241,14500,15966,6000,14966,7897,2890
10,경남,9077,7692,7577,10485,16054,5615,14846,6769,3138
11,경북,8808,8108,7346,9385,14623,5731,13846,7192,2769
12,전남,8111,8167,6778,13556,16410,6389,15222,7556,2200
13,전북,8600,10000,7600,13150,14734,5900,14800,7650,2630
14,충남,8700,8550,7500,14300,15406,5900,14300,7600,2570
15,충북,8071,8043,7786,13286,13063,5429,13143,6929,2500
16,제주,9000,8500,8125,15750,16194,6250,13250,8500,2750
