번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9000,8769,6769,14000,16581,5346,14462,7308,2654
2,광주,7800,8100,7100,12000,12556,5400,14200,6800,2500
3,대구,8833,8667,6500,9667,13214,5000,13500,5917,2217
4,대전,8200,8700,6500,12600,15933,5400,12600,6000,2400
5,부산,8571,6986,6571,9571,14372,4929,13714,5786,2357
6,울산,8000,7900,6900,8600,14338,5500,13000,6900,2300
7,인천,8583,7250,6667,13833,15426,5250,13833,6833,2333
8,강원,8111,7500,7056,12111,12111,5056,13556,7500,2333
9,경기,8500,7442,6442,13558,14605,5558,14038,7269,2508
10,경남,8400,7200,6800,9100,14411,4900,14400,6450,2680
11,경북,8000,7262,6885,8692,13207,4962,13000,6538,2292
12,전남,7556,7333,6278,12444,15049,5611,13889,7111,2111
13,전북,7750,8900,7150,12450,13590,5200,13800,6900,2300
14,충남,8000,7750,6900,13000,14183,5300,13200,6800,2250
15,충북,7500,7329,7143,12143,11978,5143,12143,6357,2143
16,제주,7750,8250,7625,15000,15417,5750,12250,7625,2500
