번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9962,9385,7154,14462,17159,5846,14500,8115,2831
2,광주,8600,8700,7100,13000,13600,5900,14800,7800,2800
3,대구,9417,8283,7000,10250,14043,5750,14500,6500,2500
4,대전,8800,9200,6700,13600,17117,5800,13200,6400,2600
5,부산,9857,7857,6857,10214,14608,5714,14143,6429,2643
6,울산,8600,8400,7200,9200,15703,5900,13200,7900,2700
7,인천,9417,7817,6750,14317,15830,5917,14167,7167,2667
8,강원,8556,8556,7556,13333,13519,5778,13556,8111,2611
9,경기,9069,7997,7190,14293,15736,5966,14517,7810,2838
10,경남,9038,7615,7423,10215,15615,5423,14538,6654,3138
11,경북,8731,7838,7269,9154,14264,5731,13538,7077,2692
12,전남,8000,8056,6667,13444,16287,6222,15000,7333,2200
13,전북,8450,9550,7600,13300,14490,5600,14700,7450,2630
14,충남,8500,8450,7300,13800,14861,5900,14100,7400,2500
15,충북,7929,7829,7714,13000,12806,5429,12714,6786,2429
16,제주,9000,8500,8125,15250,15667,6000,13250,8500,2750
