번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9500,9000,6846,14077,16684,5385,14077,7462,2731
2,광주,7900,8700,7100,12400,12956,5500,14400,7000,2500
3,대구,8833,8750,6500,9667,13214,5167,13833,6250,2300
4,대전,8300,8700,6500,12600,15933,5400,12600,6000,2400
5,부산,8857,7500,6714,9571,14372,5071,13857,5929,2357
6,울산,8000,8100,6900,8600,14338,5700,13200,7200,2500
7,인천,8833,7483,6500,13317,15293,5333,14000,6833,2500
8,강원,8111,7556,7167,12444,12444,5278,13333,7500,2333
9,경기,8635,7642,6673,13673,14730,5692,14269,7327,2608
10,경남,8700,7300,6850,9290,14694,4950,14400,6450,2760
11,경북,8154,7415,7038,8769,13325,4962,13077,6615,2423
12,전남,7556,7667,6611,12667,15346,5722,14222,7111,2167
13,전북,8200,9150,7150,12650,13812,5200,14000,7000,2350
14,충남,8000,7950,6900,13300,14350,5350,13200,6900,2370
15,충북,7429,7329,7143,12286,12121,5286,12143,6357,2214
16,제주,7750,8250,7625,15000,15417,5875,12250,7750,2625
