번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,10269,9538,7385,15000,17783,6262,14885,8269,2946
2,광주,8800,8700,7800,13600,14244,6100,15000,7800,2900
3,대구,10167,8633,7083,10417,14265,5917,14500,6333,2500
4,대전,9000,9400,7000,13600,17117,5800,13600,7200,2800
5,부산,9857,8071,7000,10786,15429,5929,14714,6500,2714
6,울산,8800,8600,7400,9600,16344,6300,13600,8100,2700
7,인천,9667,8067,7333,14483,16015,6000,14500,7667,2800
8,강원,8778,8889,7556,14222,14432,5778,14000,8333,2811
9,경기,9379,8086,7293,14810,16529,6069,15138,8034,2914
10,경남,9231,7923,7731,10485,16210,5615,14846,6808,3138
11,경북,8885,8185,7423,9538,14880,5769,13923,7192,2769
12,전남,8333,8333,7056,13556,16410,6611,15222,7778,2278
13,전북,8600,10100,7700,13550,15296,6000,14800,7850,2630
14,충남,9000,8750,7600,14700,15831,6100,14300,7650,2620
15,충북,8143,8043,7786,13714,13508,5429,13429,7143,2500
16,제주,9000,8500,8125,15750,16194,6500,13250,8625,2875
