번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9077,8769,6769,14000,16581,5346,14462,7462,2692
2,광주,7800,8100,7100,12200,12756,5500,14400,7000,2400
3,대구,8833,8667,6500,9667,13214,5000,13833,6083,2217
4,대전,8300,8700,6500,12600,15933,5400,12600,6000,2400
5,부산,8714,7129,6571,9571,14372,5071,13714,5929,2357
6,울산,8000,7900,6900,8600,14338,5500,13200,7200,2400
7,인천,8583,7250,6500,13317,15293,5333,13833,6833,2417
8,강원,8111,7500,7167,12444,12444,5167,13556,7500,2333
9,경기,8558,7481,6615,13596,14643,5692,14154,7288,2538
10,경남,8600,7200,6850,9100,14411,4950,14400,6450,2760
11,경북,8000,7377,7038,8692,13207,4962,13000,6615,2385
12,전남,7556,7444,6389,12667,15346,5611,14000,7111,2111
13,전북,8000,9050,7150,12550,13701,5200,13800,6900,2300
14,충남,8000,7800,6900,13000,14183,5450,13200,6900,2370
15,충북,7429,7329,7143,12286,12121,5286,12143,6357,2214
16,제주,7750,8250,7625,15000,15417,5750,12250,7625,2625
