번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,8885,8692,6462,13923,16615,5115,14462,7269,2446
2,광주,7800,7900,7100,12000,12556,5400,14200,7000,2400
3,대구,8500,8667,6333,9667,12658,4917,13500,5750,2217
4,대전,7900,8500,6100,12600,15067,5400,12600,5800,2400
5,부산,8571,6900,6429,9357,14042,4857,13571,5786,2286
6,울산,8000,7900,6500,8600,14141,5300,13000,6900,2300
7,인천,8067,7567,6500,13833,15426,5000,13500,6750,2333
8,강원,8111,6944,7056,12000,12000,5000,13556,7167,2333
9,경기,8458,7327,6385,13462,14382,5423,13846,7058,2373
10,경남,8400,6850,6900,8700,13824,4900,14400,6250,2650
11,경북,8077,7223,6654,8615,13079,4923,12692,6385,2177
12,전남,7444,7111,6389,12000,15000,5333,13778,7111,2111
13,전북,7750,8400,6900,12400,13523,5100,13800,7000,2250
14,충남,7900,7750,6800,12700,13692,5250,13200,6700,2200
15,충북,7214,7257,7143,12000,11835,5143,12143,6357,2143
16,제주,7000,8250,7375,15000,15417,5750,12250,7625,2375
