번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9577,9115,6923,14231,16889,5462,14077,7462,2731
2,광주,7900,8700,7100,12400,12956,5500,14400,7200,2600
3,대구,8833,8833,6500,9667,13214,5167,14000,6250,2300
4,대전,8300,8700,6500,12600,15933,5400,12800,6000,2400
5,부산,8857,7500,6714,9500,13538,5071,14000,5929,2357
6,울산,8000,8100,6900,8600,14338,5700,13200,7200,2500
7,인천,8833,7567,6500,13317,15293,5333,14000,6833,2500
8,강원,8333,7944,7167,12444,12444,5278,13333,7500,2333
9,경기,8635,7758,6673,13673,14730,5731,14346,7365,2635
10,경남,8700,7400,6950,9340,14778,4900,14400,6450,2760
11,경북,8192,7415,7115,8769,13325,4962,13077,6615,2423
12,전남,7556,7667,6611,12667,15346,5722,14222,7222,2167
13,전북,8200,9300,7150,13050,14223,5200,14000,7100,2350
14,충남,8100,8000,7000,13400,14594,5350,13400,6900,2370
15,충북,7429,7400,7143,12286,12121,5286,12286,6357,2214
16,제주,7750,8250,7625,15000,15417,5875,12250,8000,2625
