번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9808,9192,7077,14385,16983,5769,14308,7769,2769
2,광주,8400,8700,7100,13000,13600,5800,14600,7400,2800
3,대구,9000,9050,6833,10000,13658,5167,14500,6333,2333
4,대전,8600,9200,6900,13600,17117,5800,13200,6400,2600
5,부산,9571,7857,6857,10214,14608,5357,14143,6214,2500
6,울산,8300,8200,7200,8800,14969,5900,13200,7400,2700
7,인천,9333,7817,6667,13983,15496,5750,14167,6917,2667
8,강원,8500,8167,7389,13222,13407,5722,13444,7833,2500
9,경기,8931,7893,7052,14190,15562,5793,14483,7672,2752
10,경남,8808,7577,7346,10138,15513,5269,14308,6462,3100
11,경북,8346,7877,7192,9154,14264,5538,13308,6846,2615
12,전남,7889,7778,6556,13333,16139,6222,14667,7333,2167
13,전북,8200,9350,7600,13200,14390,5500,14500,7450,2480
14,충남,8500,8350,7200,13700,14761,5700,13800,7100,2500
15,충북,7643,7829,7571,12857,12663,5143,12286,6786,2429
16,제주,9000,8500,8125,15250,15667,6000,13250,8500,2750
