번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9308,8846,6769,14000,16581,5385,14385,7462,2692
2,광주,7800,8100,7100,12400,12956,5500,14400,7000,2400
3,대구,8833,8750,6500,9667,13214,5167,13833,6250,2217
4,대전,8300,8700,6500,12600,15933,5400,12600,6000,2400
5,부산,8714,7129,6571,9571,14372,5071,13714,5929,2357
6,울산,8000,7900,6900,8600,14338,5700,13200,7200,2500
7,인천,8583,7333,6500,13317,15293,5333,13667,6833,2417
8,강원,8111,7556,7167,12444,12444,5278,13667,7500,2333
9,경기,8577,7615,6615,13596,14643,5692,14269,7288,2577
10,경남,8600,7300,6850,9200,14544,4950,14400,6450,2760
11,경북,8154,7377,7038,8692,13207,4962,13000,6615,2385
12,전남,7556,7444,6389,12667,15346,5611,14222,7111,2111
13,전북,8000,9150,7150,12550,13701,5200,14000,6900,2350
14,충남,8000,7850,6900,13100,14317,5350,13200,6900,2370
15,충북,7429,7614,7143,12286,12121,5286,12143,6214,2214
16,제주,7750,8250,7625,15000,15417,5750,12250,7750,2625
