번호,지역,냉면,비빔밥,김치찌개백반,삼겹살(환산전),삼겹살(환산후),자장면,삼계탕,칼국수,김밥
1,서울,9000,8692,6538,13923,16598,5115,14462,7269,2485
2,광주,7800,7900,7100,12000,12556,5400,14200,6800,2400
3,대구,8500,8667,6333,9667,12658,4917,13500,5583,2217
4,대전,8000,8500,6100,12600,15067,5200,12600,5800,2400
5,부산,8571,6900,6429,9429,14152,4857,13571,5786,2286
6,울산,8000,7900,6500,8600,14141,5300,13000,6900,2300
7,인천,8067,7567,6500,13833,15426,5167,13500,6750,2333
8,강원,8111,6944,7056,12000,12000,5000,13556,7167,2333
9,경기,8458,7365,6404,13615,14536,5423,13846,7077,2392
10,경남,8400,6900,6900,8900,14090,4900,14400,6050,2650
11,경북,8154,7223,6654,8615,13079,4923,12692,6385,2215
12,전남,7556,7278,6389,12111,15148,5333,13778,7111,2111
13,전북,7750,8400,6900,12400,13523,5100,13800,7000,2250
14,충남,8000,7750,6800,12700,13717,5200,13200,6700,2200
15,충북,7214,7329,7143,12143,11978,5143,12143,6357,2143
16,제주,7000,8250,7375,15000,15417,5750,12250,7625,2375
