구분1,평일,토요일,일요일
서울,27.3,24.1,23.7
부산,20.2,19,19.1
대구,18.3,17.1,16.7
인천,26.1,22.8,22
광주,18.9,17.4,17.4
대전,23.3,21.1,20.5
울산,14,14,13.7
세종,24.1,23.9,22.8
경기,30.5,26.8,26.2
강원,11.1,10.3,10.5
충북,16.4,14.9,15.3
충남,11.8,11.4,11.5
전북,14.7,14,13.4
전남,13.9,13.3,12.8
경북,17.6,16.8,17
경남,14.9,14.2,14.4
제주,11.4,12.4,13.1
