구분1,평일,토요일,일요일
서울,"1,303","1,282","1,278"
부산,"1,255","1,248","1,250"
대구,"1,255","1,247","1,246"
인천,"1,335","1,316","1,324"
광주,"1,222","1,210","1,208"
대전,"1,234","1,223","1,221"
울산,"1,235","1,227","1,247"
세종,"1,318","1,297","1,287"
경기,"1,551","1,534","1,533"
강원,"1,286","1,290","1,304"
충북,"1,388","1,379","1,381"
충남,"1,319","1,320","1,331"
전북,"1,241","1,240","1,240"
전남,"1,265","1,259","1,265"
경북,"1,276","1,270","1,272"
경남,"1,423","1,415","1,416"
제주,"1,166","1,147","1,188"
