구분1,평일,토요일,일요일
서울,"2,386","2,261","2,174"
부산,"2,192","2,109","2,060"
대구,"2,135","2,052","2,005"
인천,"2,427","2,274","2,231"
광주,"1,977","1,903","1,874"
대전,"2,047","1,961","1,925"
울산,"2,021","1,962","1,981"
세종,"2,111","2,077","2,006"
경기,"2,703","2,581","2,508"
강원,"1,943","1,875","1,838"
충북,"2,176","2,092","2,039"
충남,"1,979","1,931","1,906"
전북,"1,981","1,905","1,857"
전남,"1,954","1,904","1,861"
경북,"2,058","1,995","1,945"
경남,"2,313","2,240","2,193"
제주,"1,852","1,792","1,842"
