구분,평일,토요일,일요일
서울,23,22.8,22.2
부산,20,20.5,20.9
대구,19,19.3,19.9
인천,21.4,21.6,21.7
광주,15.7,15.9,16
대전,16.1,16,15.8
울산,16.2,16.2,16.2
세종,16.3,16.9,16.5
경기,21.6,21.5,21.5
강원,18.3,23.8,29.5
충북,16.1,16.1,16.1
충남,18.5,20.3,21.3
전북,14.4,14.5,14.2
전남,17.3,17.5,17.4
경북,19.4,19.6,20.1
경남,18.9,19.4,19.5
제주,20.8,21.4,22.1
