2020년도 광역지자체 교통사고 현황,,,,,,,,,
,,,,,,,,,
시도,교통여건,,,교통사고 현황(경찰DB),,,교통사고 현황(통합DB),,
,자동차등록대수(대),인구수(명),도로연장(명),사고건수(건),사망자수(명),부상자수(명),사고건수(건),사망자수(명),부상자수(명)
계,"28,251,178","51,780,579","112,977","209,654","3,081","306,194","1,247,623","3,081","2,061,788"
서울,"3,657,984","9,601,693","8,317","35,227",219,"47,513","219,162",219,"329,977"
부산,"1,587,988","3,343,528","3,402","11,913",100,"16,347","72,480",100,"113,294"
경기,"6,627,282","13,405,223","14,687","52,391",612,"77,679","314,722",612,"518,097"
강원,"970,365","1,515,112","9,915","7,039",133,"10,779","36,186",133,"65,936"
충북,"1,058,986","1,631,549","6,898","8,398",171,"13,238","34,524",171,"60,804"
충남,"1,464,672","2,204,431","7,612","8,952",261,"13,381","52,541",261,"94,293"
전북,"1,192,420","1,792,292","8,565","6,451",220,"9,778","44,168",220,"78,238"
전남,"1,424,627","1,764,193","10,740","9,816",273,"15,645","41,110",273,"72,589"
경북,"1,937,071","2,655,464","13,479","12,673",354,"18,723","61,520",354,"102,136"
경남,"2,138,687","3,350,151","12,796","11,739",280,"16,607","71,274",280,"118,115"
제주,"677,013","670,207","3,211","4,030",68,"6,131","17,590",68,"29,866"
대구,"1,379,456","2,419,246","2,978","12,940",112,"18,974","69,608",112,"113,721"
인천,"1,790,090","2,951,030","3,520","8,505",91,"11,950","62,580",91,"106,513"
광주,"750,791","1,487,675","1,874","7,718",63,"12,293","44,934",63,"78,840"
대전,"736,206","1,500,215","2,146","7,215",66,"10,636","42,712",66,"72,467"
울산,"662,341","1,139,703","2,415","3,834",51,"5,444","27,301",51,"43,408"
세종,"195,199","348,867",423,813,7,"1,076","5,601",7,"9,161"
